Tanggal,Tavg,RH_avg,ff_avg,RR
03-09-2018,27.9,64,2,0
04-09-2018,27.8,65,1,0
05-09-2018,28,62,2,0
06-09-2018,28.5,62,3,0
07-09-2018,29.5,64,2,0
08-09-2018,29.4,63,1,0
09-09-2018,28.4,64,3,0
10-09-2018,29,63,3,0
11-09-2018,28.6,65,2,0
12-09-2018,29.3,60,2,0
13-09-2018,28,58,2,0
14-09-2018,27.5,65,2,0
15-09-2018,27.3,64,2,0
16-09-2018,27.8,64,2,0
17-09-2018,28.6,67,2,0
18-09-2018,28.6,66,2,0
19-09-2018,29.1,69,2,0
20-09-2018,28.8,72,1,0
21-09-2018,29.7,67,2,0
22-09-2018,29.7,67,2,0
23-09-2018,29.8,59,2,0
24-09-2018,29.9,60,2,0
25-09-2018,29.2,65,2,0
26-09-2018,29.7,64,2,0
27-09-2018,29.1,59,2,0
28-09-2018,29.1,59,2,0
29-09-2018,29.1,66,3,0
30-09-2018,29.4,66,4,0
01-10-2018,30,67,2,0
02-10-2018,30.2,69,2,0
03-10-2018,30,69,2,0
04-10-2018,29.6,65,4,0
05-10-2018,30.3,65,3,0
06-10-2018,28.7,67,2,0
07-10-2018,29.6,64,3,0
08-10-2018,29.3,63,2,0
09-10-2018,29.9,63,2,0
10-10-2018,30.1,62,2,0
11-10-2018,30.1,61,3,0
12-10-2018,30.1,66,1,0
13-10-2018,30.4,65,1,0
14-10-2018,29.7,65,1,0
15-10-2018,30.8,63,2,0
16-10-2018,30.7,60,1,0
17-10-2018,30.4,64,2,0
18-10-2018,31,66,2,0
19-10-2018,30.2,63,2,0
20-10-2018,30.1,61,1,0
21-10-2018,30.2,65,2,0
22-10-2018,30.4,63,2,0
23-10-2018,31,63,1,0
24-10-2018,30.8,68,1,0
25-10-2018,30.8,65,1,0
26-10-2018,30.8,63,2,0
27-10-2018,30.7,62,2,0
28-10-2018,31.1,64,2,0
29-10-2018,29.2,71,1,0
30-10-2018,31,59,2,0
31-10-2018,30.3,61,2,0
01-11-2018,30.5,61,2,0
02-11-2018,30.2,65,2,0
03-11-2018,31.8,63,3,0
04-11-2018,31.9,61,2,0
05-11-2018,31.1,68,2,0
06-11-2018,30.3,71,1,0
07-11-2018,30,74,1,0
