pm10(t-1),pm10(t),pm25(t-1),pm25(t),so2(t-1),so2(t),co(t-1),co(t),o3(t-1),o3(t),no2(t-1),no2(t),categori(t-1),categori(t),categori(t+1)
0.254545454545455,0.23030303030303,0.428571428571429,0.354037267080745,0.1375,0.15,0.6,0.377777777777778,0.377622377622378,0.13986013986014,0.21875,0.1875,1,1,0
0.23030303030303,0.0363636363636364,0.354037267080745,0.0434782608695652,0.15,0.1375,0.377777777777778,0.177777777777778,0.13986013986014,0.0769230769230769,0.1875,0.109375,1,0,0
0.0363636363636364,0.0787878787878788,0.0434782608695652,0.173913043478261,0.1375,0.15,0.177777777777778,0.355555555555556,0.0769230769230769,0.0629370629370629,0.109375,0.15625,0,0,1
0.0787878787878788,0.096969696969697,0.173913043478261,0.248447204968944,0.15,0.175,0.355555555555556,0.333333333333333,0.0629370629370629,0.111888111888112,0.15625,0.15625,0,1,0
0.096969696969697,0.0787878787878788,0.248447204968944,0.149068322981367,0.175,0.1375,0.333333333333333,0.311111111111111,0.111888111888112,0.111888111888112,0.15625,0.171875,1,0,1
0.0787878787878788,0.133333333333333,0.149068322981367,0.236024844720497,0.1375,0.1375,0.311111111111111,0.311111111111111,0.111888111888112,0.125874125874126,0.171875,0.140625,0,1,1
0.133333333333333,0.145454545454545,0.236024844720497,0.279503105590062,0.1375,0,0.311111111111111,0.2,0.125874125874126,0.398601398601399,0.140625,0.078125,1,1,1
0.145454545454545,0.0909090909090909,0.279503105590062,0.204968944099379,0,0.4125,0.2,0.222222222222222,0.398601398601399,0.503496503496504,0.078125,0.171875,1,1,1
0.0909090909090909,0.139393939393939,0.204968944099379,0.285714285714286,0.4125,0.4125,0.222222222222222,0.177777777777778,0.503496503496504,0.545454545454545,0.171875,0.1875,1,1,1
0.139393939393939,0.096969696969697,0.285714285714286,0.22360248447205,0.4125,0.4125,0.177777777777778,0.155555555555556,0.545454545454545,0.482517482517483,0.1875,0.09375,1,1,1
0.096969696969697,0.127272727272727,0.22360248447205,0.242236024844721,0.4125,0.4125,0.155555555555556,0.133333333333333,0.482517482517483,0.482517482517483,0.09375,0.09375,1,1,1
0.127272727272727,0.206060606060606,0.242236024844721,0.291925465838509,0.4125,0.4125,0.133333333333333,0.222222222222222,0.482517482517483,0.538461538461538,0.09375,0.203125,1,1,1
0.206060606060606,0.127272727272727,0.291925465838509,0.229813664596273,0.4125,0.4125,0.222222222222222,0.155555555555556,0.538461538461538,0.447552447552448,0.203125,0.21875,1,1,1
0.127272727272727,0.145454545454545,0.229813664596273,0.260869565217391,0.4125,0.4125,0.155555555555556,0.2,0.447552447552448,0.440559440559441,0.21875,0.125,1,1,1
0.145454545454545,0.224242424242424,0.260869565217391,0.335403726708075,0.4125,0.125,0.2,0.555555555555556,0.440559440559441,0.503496503496504,0.125,0.171875,1,1,1
